STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811012 02:00,20, , 
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811012 05:00,10, , 
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811012 11:00,10, , 
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811012 12:00,10, , 
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811012 20:00,10, , 
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811013 07:00,20, , 
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811013 08:00,10, , 
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811013 09:00,10, , 
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811013 11:00,10, , 
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811013 12:00,10, , 
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811013 14:00,20, , 
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811013 15:00,30, , 
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811013 16:00,10, , 
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811013 17:00,30, , 
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811013 18:00,10, , 
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811013 19:00,10, , 
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811013 21:00,10, , 
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811016 08:00,10, , 
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811017 03:00,20, , 
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811017 04:00,10, , 
COOP:147717,SPRING HILL KS US,313.9,38.73333,-94.81667,19811017 12:00,20, , 
COOP:148535,WALLACE KS US,994,38.88333,-101.58333,19811016 05:00,10, , 
COOP:148535,WALLACE KS US,994,38.88333,-101.58333,19811016 22:00,10, , 
COOP:143366,HALSTEAD 3 SW KS US,430.1,37.96667,-97.55,19811009 02:00,99999,a, 
COOP:143366,HALSTEAD 3 SW KS US,430.1,37.96667,-97.55,19811012 12:00,35,A, 
COOP:143366,HALSTEAD 3 SW KS US,430.1,37.96667,-97.55,19811012 13:00,99999,a, 
COOP:143366,HALSTEAD 3 SW KS US,430.1,37.96667,-97.55,19811015 07:00,93,A, 
COOP:143366,HALSTEAD 3 SW KS US,430.1,37.96667,-97.55,19811015 08:00,99999,a, 
COOP:143366,HALSTEAD 3 SW KS US,430.1,37.96667,-97.55,19811016 07:00,45,A, 
COOP:143366,HALSTEAD 3 SW KS US,430.1,37.96667,-97.55,19811016 08:00,99999,a, 
COOP:143366,HALSTEAD 3 SW KS US,430.1,37.96667,-97.55,19811017 07:00,33,A, 
COOP:143366,HALSTEAD 3 SW KS US,430.1,37.96667,-97.55,19811017 08:00,99999,a, 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811009 08:00,99999,a, 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811012 17:00,126,A, 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811013 01:00,21, , 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811013 05:00,1, , 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811013 06:00,3, , 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811013 07:00,9, , 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811013 08:00,4, , 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811013 09:00,5, , 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811013 10:00,16, , 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811013 11:00,5, , 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811013 12:00,3, , 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811013 14:00,2, , 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811013 15:00,6, , 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811013 16:00,7, , 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811013 20:00,1, , 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811015 04:00,45, , 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811015 05:00,28, , 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811015 06:00,3, , 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811015 07:00,1, , 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811015 11:00,4, , 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811016 08:00,4, , 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811017 07:00,99999,a, 
COOP:141740,COLUMBUS KS US,274,37.16667,-94.85,19811017 08:00,138,A, 
COOP:148946,WILSON LAKE KS US,460.9,38.96667,-98.48333,19811011 13:00,3, , 
COOP:148946,WILSON LAKE KS US,460.9,38.96667,-98.48333,19811011 14:00,9, , 
COOP:148946,WILSON LAKE KS US,460.9,38.96667,-98.48333,19811011 15:00,3, , 
COOP:148946,WILSON LAKE KS US,460.9,38.96667,-98.48333,19811011 16:00,1, , 
COOP:148946,WILSON LAKE KS US,460.9,38.96667,-98.48333,19811011 17:00,3, , 
COOP:148946,WILSON LAKE KS US,460.9,38.96667,-98.48333,19811017 08:00,13, , 
COOP:148946,WILSON LAKE KS US,460.9,38.96667,-98.48333,19811017 09:00,12, , 
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,406,37.65,-97.43333,19811009 04:00,1, , 
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,406,37.65,-97.43333,19811009 11:00,1, , 
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,406,37.65,-97.43333,19811009 14:00,1, , 
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,406,37.65,-97.43333,19811011 16:00,8, , 
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,406,37.65,-97.43333,19811011 17:00,5, , 
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,406,37.65,-97.43333,19811011 18:00,3, , 
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,406,37.65,-97.43333,19811011 19:00,3, , 
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,406,37.65,-97.43333,19811011 20:00,5, , 
