STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811012 08:00,4, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811012 09:00,4, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811012 10:00,1, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811012 14:00,3, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811012 15:00,1, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811013 00:00,5, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811013 01:00,1, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811013 13:00,1, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811013 20:00,8, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811013 21:00,1, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811013 22:00,5, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811013 23:00,10, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811014 00:00,32, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811014 01:00,38, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811014 02:00,9, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811014 03:00,10, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811014 04:00,1, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811015 10:00,15, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811015 11:00,1, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811015 13:00,3, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811016 08:00,10, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811017 10:00,2, , 
COOP:236460,OZARK BEACH MO US,214,36.66667,-93.11667,19811017 18:00,51, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811012 11:00,6, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811012 12:00,1, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811012 13:00,7, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811012 14:00,1, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811012 22:00,2, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811013 02:00,4, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811013 03:00,3, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811013 06:00,1, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811013 07:00,4, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811013 10:00,10, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811013 11:00,4, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811014 00:00,2, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811014 01:00,4, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811014 02:00,7, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811014 03:00,10, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811014 04:00,24, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811014 05:00,11, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811014 06:00,16, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811014 07:00,20, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811014 08:00,7, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811014 09:00,5, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811014 10:00,1, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811014 11:00,1, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811014 12:00,4, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811015 09:00,7, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811015 10:00,12, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811017 19:00,16, , 
COOP:238880,WEST PLAINS MO US,306.9,36.73333,-91.85,19811017 20:00,34, , 
COOP:234825,LEBANON 2 W MO US,366.1,37.7,-92.68333,19811010 02:00,10, , 
COOP:234825,LEBANON 2 W MO US,366.1,37.7,-92.68333,19811012 08:00,10, , 
COOP:234825,LEBANON 2 W MO US,366.1,37.7,-92.68333,19811012 09:00,10, , 
